,GEOID,B02001e1,B03002e1,B03002e3,B03002e4,B03002e5,B03002e6,B03002e12,B17017e1,B17017e2,B19001e1,B19001e2,B19001e3,B19001e4,B19001e5,B19001e6,B19001e7,B19001e8,B19001e9,B19001e10,B19001e11,B19001e12,B19001e13,B19001e14,B19001e15,B19001e16,B19001e17,B19013e1,B25001e1,B25002e1,B25002e2,B25002e3,B25003e1,B25003e2,B25003e3,B25004e1,B25004e2,B25004e3,B25004e4,B25004e5,B25004e6,B25004e7,B25004e8,B25063e1,B25063e2,B25063e3,B25063e4,B25063e5,B25063e6,B25063e7,B25063e8,B25063e9,B25063e10,B25063e11,B25063e12,B25063e13,B25063e14,B25063e15,B25063e16,B25063e17,B25063e18,B25063e19,B25063e20,B25063e21,B25063e22,B25063e23,B25063e24,B25064e1,B25075e1,B25075e2,B25075e3,B25075e4,B25075e5,B25075e6,B25075e7,B25075e8,B25075e9,B25075e10,B25075e11,B25075e12,B25075e13,B25075e14,B25075e15,B25075e16,B25075e17,B25075e18,B25075e19,B25075e20,B25075e21,B25075e22,B25075e23,B25075e24,B25075e25,B25077e1
671,14000US36047039400,2152,2152,1853,0,11,43,104,704,76,704,46,26,77,23,33,45,52,52,14,65,89,69,26,35,4,48,44722.0,790,790,704,86,704,301,403,86,0,0,0,0,38,0,48,403,382,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,67,68,139,63,22,21,1309.0,301,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,12,0,5,18,13,0,60,101,81,828000.0
672,14000US36047039500,3847,3847,319,953,0,304,2258,1225,498,1225,268,84,149,96,127,0,27,97,62,18,59,105,59,31,43,0,25842.0,1386,1386,1225,161,1225,155,1070,161,51,0,26,0,14,0,70,1070,1063,0,0,13,49,46,0,13,0,15,16,33,0,0,0,76,24,14,285,277,143,59,7,1204.0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,31,0,0,10,97,0,0,550300.0
673,14000US36047039600,1992,1992,1820,0,0,59,107,714,130,714,39,47,59,5,67,39,58,28,49,16,69,29,35,33,66,75,45765.0,824,824,714,110,714,325,389,110,0,0,27,0,7,0,76,389,360,0,0,0,5,0,0,0,0,0,0,7,0,20,31,6,16,0,107,66,49,53,29,1222.0,325,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,38,13,87,75,100,791700.0
674,14000US36047039700,3062,3062,384,1568,52,62,981,1200,370,1200,197,100,67,128,72,33,47,84,102,89,56,118,55,36,0,16,35160.0,1432,1432,1200,232,1200,201,999,232,63,0,19,0,0,0,150,999,969,0,0,0,0,0,0,0,0,33,0,0,0,66,21,0,50,127,213,199,224,36,30,1220.0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,36,67,64,16,0,469400.0
675,14000US36047039800,2699,2699,1120,0,0,1000,538,866,140,866,23,41,108,67,79,10,53,53,5,72,109,86,61,32,46,21,44808.0,960,960,866,94,866,418,448,94,41,0,13,13,12,0,15,448,443,0,0,0,0,0,0,0,15,0,5,0,0,0,42,0,23,13,178,95,53,19,5,1173.0,418,0,0,0,0,0,6,0,0,6,5,0,0,16,0,0,15,0,0,5,27,71,222,45,0,565300.0
676,14000US36047039900,3680,3680,247,1535,0,33,1856,1285,373,1285,242,130,85,15,77,37,70,49,47,136,128,83,132,16,36,2,39233.0,1516,1516,1285,231,1285,148,1137,231,175,0,15,0,0,0,41,1137,1103,24,0,14,78,38,67,0,29,22,9,21,13,15,0,10,33,73,223,182,124,128,34,1118.0,148,4,0,0,9,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,25,30,57,0,0,443300.0
677,14000US36047040000,3623,3623,1436,0,0,1579,406,1114,240,1114,97,106,90,80,35,25,53,93,36,68,180,151,55,21,24,0,43690.0,1208,1208,1114,94,1114,498,616,94,38,0,16,0,15,0,25,616,588,0,0,0,0,0,0,11,0,0,0,0,0,0,11,9,34,15,201,252,55,0,28,1263.0,498,7,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,15,83,326,22,30,598900.0
678,14000US36047040100,3379,3379,334,1835,1,25,1148,1151,328,1151,188,56,20,101,29,60,55,81,75,140,169,45,33,55,34,10,42052.0,1325,1325,1151,174,1151,217,934,174,52,0,0,40,0,0,82,934,934,0,11,0,27,0,0,0,55,32,0,0,55,53,8,0,48,0,277,109,186,73,0,1161.0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,13,43,142,0,0,559000.0
679,14000US36047040200,2490,2490,1023,0,0,1188,264,882,167,882,66,49,95,47,76,49,50,34,2,37,91,137,60,37,41,11,40978.0,953,953,882,71,882,472,410,71,28,15,0,0,0,0,28,410,404,0,0,0,0,0,0,11,0,6,6,0,14,0,0,39,25,66,113,86,38,0,6,1077.0,472,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,56,317,83,0,629300.0
680,14000US36047040300,3985,3985,127,2417,6,37,1398,1254,596,1254,344,88,31,112,129,71,19,109,0,38,75,134,66,12,26,0,26566.0,1403,1403,1254,149,1254,268,986,149,132,0,0,0,0,0,17,986,976,0,0,0,8,0,10,0,0,0,4,34,0,0,49,0,0,17,251,289,174,140,10,1349.0,268,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,77,76,47,21,22,442100.0
