,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1963,14000US36081103300,2012,75154.0,11,0.3907649896623019,1492.0,18,0.7598039215686274,629500.0,21,0.8204857444561774,0.7018129770992366,0.052377670572019294,0.5797054009819967,0.6213910761154856,0.33070866141732286,0.04133858267716536,0.0,0.006561679790026247
1964,14000US36081103900,2012,65923.0,10,0.35174418604651164,1570.0,19,0.8272921108742004,648000.0,21,0.9209558823529411,0.6847740513304992,0.05329457364341085,0.5841284617174773,0.4769837790442788,0.42788250767207364,0.05085488820692679,0.015344147303814117,0.02893467777290662
1965,14000US36081104700,2012,75012.0,11,0.35864811133200797,1420.0,18,0.7699757869249395,590300.0,21,0.5694189602446483,0.4774165072826247,0.04731610337972167,0.6505419510236853,0.6093924711144242,0.3279910547894148,0.0,0.004472605292582929,0.05814386880357809
1966,14000US36081105900,2012,87632.0,11,0.2741407528641571,1432.0,18,0.7386934673366834,665700.0,21,0.8796019900497513,0.6329479768786127,0.0220949263502455,0.5708502024291497,0.742245199409158,0.1602658788774003,0.0066469719350073855,0.007385524372230428,0.08345642540620384
1967,14000US36081107201,2012,68854.0,10,0.35315533980582525,917.0,16,0.35403726708074534,391100.0,19,0.6671850699844479,0.8754222972972973,0.05703883495145631,0.4029126213592233,0.6147227533460803,0.17304015296367112,0.0248565965583174,0.06022944550669216,0.12715105162523901
1969,14000US36081108500,2012,61761.0,10,0.2441025641025641,1250.0,18,0.43661971830985913,636100.0,21,0.9118541033434651,0.5989477944152165,0.09128205128205129,0.691371095817893,0.6748717948717948,0.3251282051282051,0.0,0.0,0.0
1970,14000US36081109300,2012,100769.0,12,0.4199623352165725,1811.0,19,0.8875,756800.0,22,0.9024640657084189,0.5896755162241888,0.015065913370998116,0.6774716369529984,0.8536371603856266,0.07712532865907099,0.016652059596844872,0.0,0.05258545135845749
1971,14000US36081109700,2012,78571.0,11,0.30851063829787234,1490.0,18,0.49242424242424243,690900.0,21,0.8133595284872298,0.5539112050739958,0.034954407294832825,0.6666666666666666,0.6972602739726027,0.20410958904109588,0.01643835616438356,0.0,0.0821917808219178
1972,14000US36081109900,2012,65625.0,10,0.32538330494037476,1375.0,18,0.7224489795918367,498600.0,20,0.8122270742358079,0.5577596266044341,0.11499148211243612,0.5511432009626955,0.7411003236245954,0.2087378640776699,0.042071197411003236,0.0,0.008090614886731391
1973,14000US36081111300,2012,80625.0,11,0.3321917808219178,1559.0,19,0.8902439024390244,697000.0,21,0.8052708638360175,0.4796345641416064,0.03881278538812785,0.6722425509670674,0.7423913043478261,0.20978260869565218,0.0,0.0,0.04782608695652174
