,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female
1788,14000US36081059900,0.004344677769732078,0.2614047791455467,0.2614047791455467,43.4,0.4228819695872556,0.5771180304127443
1789,14000US36081060000,0.8967551622418879,0.08161258603736479,0.08161258603736479,47.2,0.40117994100294985,0.5988200589970502
1790,14000US36081060100,0.0030785017957927143,0.3391482811698307,0.3391482811698307,42.1,0.5151359671626475,0.48486403283735247
1791,14000US36081060300,0.0076128330614464385,0.3094072865687874,0.3094072865687874,43.6,0.564437194127243,0.4355628058727569
1792,14000US36081060600,0.8864908073541167,0.0671462829736211,0.0671462829736211,49.3,0.4748201438848921,0.5251798561151079
1793,14000US36081060701,0.0,1.0,1.0,,0.0,1.0
1794,14000US36081060800,0.9784313725490196,0.01045751633986928,0.01045751633986928,40.4,0.4895424836601307,0.5104575163398692
1795,14000US36081061000,0.9329677026203534,0.015234613040828763,0.015234613040828763,38.5,0.40219378427787933,0.5978062157221207
1796,14000US36081061200,0.9477561955793704,0.022103148024112524,0.022103148024112524,50.9,0.4474212993971869,0.5525787006028131
1797,14000US36081061301,0.008820477343479766,0.25510204081632654,0.25510204081632654,36.8,0.48806641300588033,0.5119335869941197
1798,14000US36081061302,0.21428571428571427,0.0,0.0,47.8,0.21428571428571427,0.7857142857142857
1799,14000US36081061400,0.8603827072997874,0.01630049610205528,0.01630049610205528,42.9,0.4209780297661233,0.5790219702338767
1800,14000US36081061601,0.9368108566581849,0.02502120441051739,0.02502120441051739,41.3,0.4491094147582697,0.5508905852417303
1801,14000US36081061602,0.8405238828967643,0.09399075500770417,0.09399075500770417,42.0,0.4707241910631741,0.5292758089368259
1802,14000US36081061800,0.897642015005359,0.01232583065380493,0.01232583065380493,40.3,0.47481243301178994,0.5251875669882101
1803,14000US36081061900,0.0,0.326181592039801,0.326181592039801,35.1,0.48600746268656714,0.5139925373134329
1804,14000US36081062000,0.8130081300813008,0.07243163340724317,0.07243163340724317,48.4,0.4663710273466371,0.5336289726533628
1805,14000US36081062100,0.0027711797307996833,0.25376088677751385,0.25376088677751385,41.3,0.391132224861441,0.6088677751385589
1806,14000US36081062200,0.9430455635491607,0.03537170263788969,0.03537170263788969,51.1,0.43585131894484413,0.5641486810551559
1807,14000US36081062300,0.0,0.25125125125125125,0.25125125125125125,41.5,0.5380380380380381,0.461961961961962
1808,14000US36081062400,,,,,,
1809,14000US36081062500,0.013883045856121162,0.16996213714766512,0.16996213714766512,39.1,0.5317627261253681,0.4682372738746319
1810,14000US36081062600,0.8859649122807017,0.05523066926575698,0.05523066926575698,39.3,0.4252761533463288,0.5747238466536713
1811,14000US36081062700,0.0024229837313949464,0.41502249913464867,0.41502249913464867,37.3,0.48044305988231223,0.5195569401176878
1812,14000US36081062900,0.014763779527559055,0.2260498687664042,0.2260498687664042,31.3,0.506233595800525,0.49376640419947504
1813,14000US36081063000,0.8885714285714286,0.07371428571428572,0.07371428571428572,46.8,0.4308571428571429,0.5691428571428572
