,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female,year
104,14000US36005017902,0.3544511196067723,0.5838339705079192,0.5838339705079192,29.2,0.449208083014746,0.550791916985254,2012
105,14000US36005018101,0.5611553197760094,0.43147656940760387,0.43147656940760387,34.5,0.4709696433834365,0.5290303566165635,2012
106,14000US36005018102,0.42760881442360227,0.49699508286286653,0.49699508286286653,32.7,0.5142961209251502,0.48570387907484974,2012
107,14000US36005018301,0.3732167510354349,0.5609756097560976,0.5609756097560976,39.2,0.48228255867464337,0.5177174413253567,2012
108,14000US36005018302,0.29259723964868256,0.6215809284818068,0.6215809284818068,31.1,0.533249686323714,0.46675031367628605,2012
109,14000US36005018400,0.042332065906210394,0.39898605830164763,0.39898605830164763,40.5,0.4555133079847909,0.5444866920152092,2012
110,14000US36005018500,0.39816730712385456,0.5467041087791901,0.5467041087791901,29.3,0.44265444871415904,0.557345551285841,2012
111,14000US36005018900,0.23777805705667965,0.7272841523187131,0.7272841523187131,30.3,0.4902601482970969,0.5097398517029031,2012
112,14000US36005019300,0.37871853546910755,0.6212814645308925,0.6212814645308925,30.1,0.4498474446987033,0.5501525553012967,2012
113,14000US36005019400,0.1754051477597712,0.5290753098188751,0.5290753098188751,31.2,0.5571973307912298,0.44280266920877026,2012
114,14000US36005019500,0.2880897661214006,0.6398539948627822,0.6398539948627822,31.2,0.400162227930242,0.599837772069758,2012
115,14000US36005019700,0.2674548848786559,0.6457996266334786,0.6457996266334786,25.3,0.4586185438705663,0.5413814561294338,2012
116,14000US36005019900,0.40229885057471265,0.5829614604462474,0.5829614604462474,31.8,0.4589587559161596,0.5410412440838405,2012
117,14000US36005020000,0.03683640303358613,0.47778981581798485,0.47778981581798485,32.0,0.49967497291440954,0.5003250270855905,2012
118,14000US36005020100,0.24308300395256918,0.7359189723320159,0.7359189723320159,27.4,0.47702569169960474,0.5229743083003953,2012
119,14000US36005020200,0.14384449244060477,0.41295896328293735,0.41295896328293735,34.1,0.4401727861771058,0.5598272138228941,2012
120,14000US36005020400,0.05169340463458111,0.6267379679144385,0.6267379679144385,32.6,0.5258467023172906,0.4741532976827095,2012
121,14000US36005020501,0.34715933985687164,0.6309332554403388,0.6309332554403388,31.5,0.4279246385278224,0.5720753614721776,2012
122,14000US36005020502,0.1826086956521739,0.6689855072463768,0.6689855072463768,32.6,0.518840579710145,0.4811594202898551,2012
123,14000US36005020601,0.18825145997938852,0.44486430779800756,0.44486430779800756,34.5,0.4486430779800756,0.5513569220199245,2012
124,14000US36005020900,0.30363636363636365,0.6579220779220779,0.6579220779220779,38.8,0.5192207792207792,0.4807792207792208,2012
125,14000US36005021001,0.5870009074410163,0.3180580762250454,0.3180580762250454,36.0,0.4757259528130672,0.5242740471869328,2012
126,14000US36005021002,0.5286044495810459,0.30915920254261775,0.30915920254261775,37.7,0.4500144466917076,0.5499855533082924,2012
127,14000US36005021100,0.4348283111422565,0.560791871058164,0.560791871058164,30.4,0.49789768745620183,0.5021023125437982,2012
128,14000US36005021200,0.34880890279951315,0.33907146583202924,0.33907146583202924,36.1,0.5070422535211268,0.49295774647887325,2012
129,14000US36005021301,0.13978494623655913,0.8602150537634409,0.8602150537634409,28.9,0.46006144393241166,0.5399385560675883,2012
130,14000US36005021302,0.4241187384044527,0.5500927643784786,0.5500927643784786,28.0,0.4478664192949907,0.5521335807050093,2012
131,14000US36005021501,0.19225772928033255,0.7443491816056118,0.7443491816056118,26.1,0.4580410496232788,0.5419589503767213,2012
132,14000US36005021502,0.280391813888403,0.6776281266398461,0.6776281266398461,30.9,0.4787475948924261,0.5212524051075739,2012
133,14000US36005021601,0.1556429800835997,0.7305138923039095,0.7305138923039095,33.3,0.42980083599704944,0.5701991640029506,2012
134,14000US36005021602,0.4685,0.3115,0.3115,38.6,0.477,0.523,2012
135,14000US36005021700,0.3887640449438202,0.5836567926455567,0.5836567926455567,32.1,0.48682328907048006,0.5131767109295199,2012
136,14000US36005021800,0.22812953117448043,0.6629611728693411,0.6629611728693411,29.3,0.49943612050910263,0.5005638794908974,2012
137,14000US36005021900,0.2962962962962963,0.6643990929705216,0.6643990929705216,34.3,0.46863189720332576,0.5313681027966742,2012
138,14000US36005022000,0.3093220338983051,0.672316384180791,0.672316384180791,24.6,0.507768361581921,0.4922316384180791,2012
139,14000US36005022101,0.18928744546776538,0.7695104217159476,0.7695104217159476,32.4,0.4924866698982065,0.5075133301017936,2012
140,14000US36005022102,0.10775862068965517,0.8474512743628186,0.8474512743628186,26.3,0.4625187406296852,0.5374812593703149,2012
141,14000US36005022200,0.12435053688950468,0.687911326636647,0.687911326636647,33.7,0.4527190855559404,0.5472809144440596,2012
142,14000US36005022300,0.24576425578429587,0.7305520131171434,0.7305520131171434,32.9,0.5387137912188013,0.46128620878119875,2012
143,14000US36005022401,0.13011152416356878,0.6100371747211896,0.6100371747211896,35.2,0.4423791821561338,0.5576208178438662,2012
144,14000US36005022403,0.13036463375282348,0.5524362697644402,0.5524362697644402,38.7,0.4001290738948048,0.5998709261051952,2012
145,14000US36005022404,0.11126373626373626,0.4432234432234432,0.4432234432234432,35.6,0.47596153846153844,0.5240384615384616,2012
146,14000US36005022500,0.3423802089588087,0.6145070253392578,0.6145070253392578,25.8,0.531644049477603,0.46835595052239704,2012
147,14000US36005022701,0.34077115315958584,0.632452695465905,0.632452695465905,32.3,0.5148161370938951,0.485183862906105,2012
148,14000US36005022702,0.3818770226537217,0.5080906148867314,0.5080906148867314,36.2,0.44724919093851134,0.5527508090614887,2012
149,14000US36005022703,0.20329024676850763,0.636310223266745,0.636310223266745,31.9,0.43478260869565216,0.5652173913043478,2012
150,14000US36005022800,0.13648542159180457,0.4353033884948779,0.4353033884948779,34.8,0.5120567375886524,0.4879432624113475,2012
